clientid;income;sexo;Produto;age;loan;default;tempo
31;48528,85;1,00;1,00;;6155,78;0,00;3,00
32;23526,30;1,00;1,00;;2862,01;0,00;4,00
33;67252,90;1,00;1,00;38,13;4221,30;0,00;1,00
34;58886,85;1,00;1,00;38,66;7271,55;0,00;0,00
35;57584,97;1,00;1,00;36,67;1728,42;0,00;5,00
36;26289,97;1,00;1,00;20,67;341,15;0,00;5,00
37;25952,38;1,00;1,00;58,19;2109,20;0,00;8,00
38;32464,09;1,00;1,00;50,23;4326,71;0,00;5,00
39;60921,06;1,00;1,00;18,84;968,84;0,00;5,00
40;26578,54;1,00;1,00;32,68;3489,84;1,00;39,00
41;66260,12;1,00;1,00;32,90;7035,59;0,00;5,00
42;58787,46;1,00;1,00;62,64;4167,79;0,00;6,00
43;62545,71;1,00;1,00;49,04;4362,91;0,00;4,00
44;24381,95;1,00;1,00;25,25;4227,02;1,00;53,00
45;67852,11;1,00;1,00;47,32;5730,59;0,00;10,00
46;41725,61;1,00;1,00;18,13;1185,21;0,00;4,00
47;41896,97;1,00;1,00;47,25;4892,21;0,00;3,00
48;44379,73;1,00;1,00;50,09;1814,34;0,00;8,00
49;28416,90;1,00;1,00;57,93;1788,97;0,00;3,00
50;68427,16;1,00;1,00;46,31;1658,07;0,00;9,00
51;35975,79;1,00;1,00;35,71;6610,37;0,00;1,00
52;57596,35;1,00;1,00;29,25;3344,38;0,00;6,00
53;29681,88;1,00;1,00;54,96;1745,87;0,00;4,00
54;51656,94;1,00;1,00;47,72;7158,14;0,00;5,00
55;24912,84;1,00;1,00;49,37;267,70;0,00;9,00
56;47761,82;1,00;1,00;50,10;5549,80;0,00;1,00
57;22248,18;1,00;1,00;23,44;4364,98;1,00;39,00
58;29724,48;1,00;1,00;31,97;3075,35;0,00;1,00
59;52143,82;1,00;1,00;20,84;2393,10;0,00;6,00
60;56577,72;1,00;1,00;36,85;5947,42;0,00;2,00
61;37660,77;1,00;1,00;53,75;2129,60;0,00;1,00
62;37403,80;1,00;1,00;47,94;2044,05;0,00;9,00
63;31652,69;1,00;1,00;62,02;5151,07;0,00;9,00
64;32727,70;1,00;1,00;34,47;1087,92;0,00;3,00
65;69078,60;1,00;1,00;25,11;4076,58;0,00;2,00
66;40622,19;1,00;1,00;41,53;4949,90;0,00;5,00
67;37521,02;1,00;1,00;60,54;8,01;0,00;0,00
68;30735,81;1,00;1,00;22,24;5946,82;1,00;13,00
69;24857,69;1,00;1,00;21,60;2692,16;0,00;6,00
70;33180,20;1,00;1,00;49,57;4622,00;0,00;1,00
71;66628,26;1,00;1,00;52,38;5992,89;0,00;7,00
72;38564,93;1,00;1,00;21,22;5604,17;1,00;29,00
73;33704,51;1,00;1,00;33,18;5898,00;1,00;15,00
74;57018,48;1,00;1,00;44,83;3507,25;0,00;5,00
75;40526,90;1,00;1,00;28,61;2119,98;0,00;7,00
76;50827,98;1,00;1,00;51,01;1765,98;0,00;7,00
77;40775,81;1,00;1,00;60,29;1922,61;0,00;6,00
78;55467,15;1,00;1,00;56,85;9226,90;0,00;6,00
79;38789,03;1,00;1,00;61,23;7650,66;0,00;2,00
80;58074,84;1,00;1,00;50,07;7388,02;0,00;1,00
81;57814,11;1,00;1,00;43,83;7252,12;0,00;0,00
82;45190,73;1,00;1,00;53,84;7893,56;0,00;4,00
83;36801,91;1,00;1,00;43,03;5406,34;0,00;9,00
84;68811,78;1,00;1,00;24,04;4211,30;0,00;9,00
85;30483,30;1,00;1,00;33,66;4514,01;1,00;6,00
86;44930,39;1,00;1,00;19,78;7708,32;1,00;59,00
87;43671,46;1,00;1,00;25,59;8066,70;1,00;13,00
88;27612,91;1,00;1,00;19,21;1513,62;0,00;10,00
89;53607,33;1,00;1,00;27,56;2378,77;0,00;6,00
90;33036,68;1,00;1,00;25,06;958,98;0,00;5,00
91;64275,83;1,00;1,00;61,44;7520,03;0,00;1,00
92;30673,84;1,00;1,00;59,33;383,11;0,00;5,00
93;58793,61;1,00;1,00;56,49;4391,98;0,00;1,00
94;21053,49;1,00;1,00;63,38;754,60;0,00;3,00
95;42095,42;1,00;1,00;55,37;1183,70;0,00;9,00
96;50360,68;1,00;1,00;28,84;4217,17;0,00;6,00
97;41970,72;1,00;1,00;63,17;1622,32;0,00;10,00
98;51663,41;1,00;1,00;63,74;4147,89;0,00;10,00
99;53601,81;1,00;1,00;20,24;9601,38;1,00;35,00
100;43439,99;1,00;1,00;24,18;6879,31;1,00;33,00
101;51461,05;1,00;1,00;36,65;7292,26;0,00;6,00
102;41285,17;1,00;1,00;47,98;2313,83;0,00;2,00
103;62895,75;1,00;1,00;49,92;2001,28;0,00;5,00
104;57296,16;1,00;1,00;25,71;10601,08;1,00;21,00
105;60844,09;1,00;1,00;45,66;12072,26;0,00;8,00
106;47634,55;1,00;1,00;44,29;141,70;0,00;5,00
107;23998,32;1,00;1,00;29,91;3928,30;1,00;57,00
108;63391,62;1,00;1,00;34,74;190,89;0,00;0,00
109;21534,55;1,00;1,00;44,32;228,34;0,00;10,00
110;28255,65;1,00;1,00;35,51;2109,24;0,00;7,00
111;36496,13;1,00;1,00;19,52;165,51;0,00;1,00
112;41631,67;1,00;1,00;53,05;106,09;0,00;10,00
113;68762,42;1,00;1,00;20,99;2796,75;0,00;8,00
114;30075,26;1,00;1,00;29,24;2628,58;0,00;2,00
115;41302,67;1,00;1,00;38,66;1379,91;0,00;7,00
116;39703,76;1,00;1,00;47,47;2403,48;0,00;2,00
117;63161,09;1,00;1,00;59,68;804,09;0,00;5,00
118;63062,14;1,00;1,00;26,59;56,17;0,00;3,00
119;34507,53;1,00;1,00;38,59;1793,75;0,00;4,00
120;27954,71;1,00;1,00;29,90;1627,04;0,00;0,00
121;37369,38;1,00;1,00;35,34;3783,60;0,00;10,00
122;43912,06;1,00;1,00;23,82;7757,14;1,00;34,00
123;22766,77;1,00;1,00;29,33;1429,40;0,00;10,00
124;21603,31;1,00;1,00;21,38;178,33;0,00;8,00
125;61952,91;1,00;1,00;18,48;3635,60;0,00;7,00
126;36116,37;1,00;1,00;22,54;1494,98;0,00;4,00
127;26157,78;1,00;1,00;22,83;2295,81;0,00;2,00
128;26458,38;1,00;1,00;59,52;552,40;0,00;9,00
129;69156,30;1,00;1,00;53,41;7364,74;0,00;5,00
130;39441,44;1,00;1,00;46,75;1034,76;0,00;1,00
131;60119,07;1,00;1,00;45,08;1810,96;0,00;5,00
132;55613,49;1,00;1,00;24,38;4255,25;0,00;10,00
133;37049,39;1,00;1,00;29,42;6056,82;1,00;5,00
134;23122,06;1,00;1,00;53,31;4263,49;0,00;0,00
135;48790,13;1,00;1,00;32,48;5519,10;0,00;0,00
136;59132,69;1,00;1,00;48,34;4575,53;0,00;6,00
137;55305,57;1,00;1,00;53,58;8176,71;0,00;2,00
138;26037,46;1,00;1,00;24,78;3293,25;1,00;60,00
139;64899,81;1,00;1,00;38,12;4654,25;0,00;9,00
140;27089,12;1,00;1,00;21,21;5029,49;1,00;48,00
141;45341,47;1,00;1,00;22,57;6525,22;1,00;26,00
142;24865,80;1,00;1,00;37,31;4439,12;0,00;5,00
143;28239,54;1,00;1,00;26,19;4189,83;1,00;58,00
144;52730,08;1,00;1,00;50,24;5706,33;0,00;4,00
145;28982,06;1,00;1,00;39,05;2898,76;0,00;0,00
146;36221,27;1,00;1,00;26,10;5094,67;1,00;21,00
147;33551,12;1,00;1,00;58,86;4333,36;0,00;5,00
148;43891,36;1,00;1,00;49,15;5792,91;0,00;10,00
149;45148,89;1,00;1,00;60,53;6455,39;0,00;7,00
150;58481,01;1,00;1,00;40,83;5380,56;0,00;8,00
151;69579,93;1,00;1,00;57,76;10868,24;0,00;0,00
152;52743,31;1,00;1,00;44,05;2684,70;0,00;6,00
153;65635,66;1,00;1,00;51,17;12701,60;0,00;1,00
154;34559,91;1,00;1,00;29,11;3317,53;0,00;6,00
155;60218,53;1,00;1,00;32,47;3157,96;0,00;7,00
156;51689,55;1,00;1,00;46,15;9881,98;0,00;10,00
157;47541,61;1,00;1,00;55,23;1611,22;0,00;2,00
158;62905,79;1,00;1,00;27,91;11423,94;1,00;51,00
159;65632,60;1,00;1,00;47,11;12498,04;0,00;8,00
160;31847,85;1,00;1,00;41,42;2913,77;0,00;3,00
161;27947,44;1,00;1,00;58,35;5514,12;0,00;4,00
162;62246,73;1,00;1,00;31,08;406,72;0,00;5,00
163;40154,69;1,00;1,00;60,53;6013,15;0,00;10,00
164;58627,55;1,00;1,00;33,12;1215,65;0,00;3,00
165;33441,05;1,00;1,00;27,87;5282,73;1,00;46,00
166;55603,79;1,00;1,00;43,84;1411,13;0,00;0,00
167;31046,38;1,00;1,00;29,30;4907,67;1,00;32,00
168;44708,10;1,00;1,00;21,11;2390,85;0,00;0,00
169;23340,27;1,00;1,00;42,83;2707,76;0,00;9,00
170;24830,18;1,00;1,00;28,97;2046,69;0,00;0,00
171;31422,75;1,00;1,00;53,90;1686,84;0,00;9,00
172;60477,23;1,00;1,00;60,40;10711,70;0,00;7,00
173;26039,02;1,00;1,00;49,39;2056,75;0,00;9,00
174;36186,85;1,00;1,00;50,51;1130,74;0,00;6,00
175;39772,12;1,00;1,00;43,73;5492,89;0,00;2,00
176;34730,16;1,00;1,00;63,38;818,51;0,00;1,00
177;23118,48;1,00;1,00;57,58;1746,94;0,00;6,00
178;50072,85;1,00;1,00;33,02;8088,57;1,00;59,00
179;67465,06;1,00;1,00;23,61;1802,62;0,00;6,00
180;38625,63;1,00;1,00;19,63;5836,56;1,00;55,00
181;45227,48;1,00;1,00;26,72;5521,51;1,00;55,00
182;64901,90;1,00;1,00;44,94;9589,83;0,00;1,00
183;40543,91;1,00;1,00;51,46;6507,85;0,00;0,00
184;27793,27;1,00;1,00;60,52;382,25;0,00;3,00
185;61167,77;1,00;1,00;20,58;10396,62;1,00;53,00
186;64619,66;1,00;1,00;26,04;9704,78;1,00;47,00
187;37593,76;1,00;1,00;54,01;7274,33;0,00;8,00
188;35032,65;1,00;1,00;56,72;135,93;0,00;10,00
189;58364,46;1,00;1,00;55,60;5809,90;0,00;4,00
190;56945,81;1,00;1,00;45,55;6388,37;0,00;7,00
191;27204,85;1,00;1,00;29,07;3827,89;1,00;55,00
192;21648,26;1,00;1,00;52,59;3558,53;0,00;8,00
193;31077,86;1,00;1,00;44,22;4452,33;0,00;6,00
194;42522,92;1,00;1,00;53,87;6790,85;0,00;0,00
195;31769,25;1,00;1,00;44,77;1148,22;0,00;1,00
196;35556,78;1,00;1,00;23,78;6361,97;1,00;60,00
197;52908,82;1,00;1,00;53,70;9841,08;0,00;8,00
198;35045,13;1,00;1,00;28,65;2382,47;0,00;4,00
199;44488,16;1,00;1,00;33,43;2751,09;0,00;7,00
200;41679,94;1,00;1,00;53,67;395,00;0,00;4,00
201;54619,95;1,00;1,00;52,42;10780,27;0,00;9,00
202;38053,62;1,00;1,00;26,21;6110,57;1,00;54,00
203;64718,66;1,00;1,00;37,28;1485,08;0,00;7,00
204;43159,08;1,00;1,00;62,44;4350,02;0,00;1,00
205;29445,51;1,00;1,00;28,45;1758,88;0,00;6,00
206;25817,39;1,00;1,00;37,95;4115,48;0,00;7,00
207;66356,86;1,00;1,00;61,52;10725,48;0,00;8,00
208;56676,16;1,00;1,00;46,68;2278,55;0,00;10,00
209;61000,04;1,00;1,00;48,62;2160,78;0,00;10,00
210;58906,25;1,00;1,00;42,05;9290,58;0,00;8,00
211;49589,15;1,00;1,00;42,78;2627,41;0,00;0,00
212;40141,60;1,00;1,00;56,15;845,37;0,00;9,00
213;31659,73;1,00;1,00;31,93;858,51;0,00;0,00
214;62658,22;1,00;1,00;25,46;3343,37;0,00;0,00
215;39264,48;1,00;1,00;37,03;5255,79;0,00;7,00
216;46643,13;1,00;1,00;53,41;6440,86;0,00;8,00
217;30515,37;1,00;1,00;20,16;415,24;0,00;1,00
218;65077,32;1,00;1,00;50,98;11061,81;0,00;4,00
219;60871,87;1,00;1,00;61,26;4844,17;0,00;5,00
220;25011,10;1,00;1,00;36,22;3834,04;0,00;6,00
221;68407,19;1,00;1,00;60,94;597,94;0,00;10,00
222;43727,44;1,00;1,00;55,19;1170,56;0,00;2,00
223;45788,75;1,00;1,00;41,26;5894,04;0,00;0,00
224;65705,01;1,00;1,00;50,93;1969,79;0,00;1,00
225;32434,70;1,00;1,00;41,35;2738,44;0,00;6,00
226;58121,67;1,00;1,00;27,30;7531,10;1,00;42,00
227;62498,51;1,00;1,00;31,91;3312,88;0,00;9,00
228;26090,73;1,00;1,00;48,08;4255,63;0,00;6,00
229;64780,94;1,00;1,00;20,23;8402,42;1,00;46,00
230;65588,40;1,00;1,00;22,92;7879,74;1,00;48,00
231;65743,70;1,00;1,00;52,30;7724,57;0,00;5,00
232;37164,52;1,00;1,00;47,30;1445,80;0,00;3,00
233;65176,53;1,00;1,00;48,96;2365,29;0,00;3,00
234;34615,54;1,00;1,00;25,51;6476,76;1,00;59,00
235;59079,47;1,00;1,00;58,64;10326,09;0,00;10,00
236;56267,17;1,00;1,00;22,49;7329,24;1,00;60,00
237;34862,82;1,00;1,00;54,96;6040,77;0,00;9,00
238;60521,36;1,00;1,00;45,42;8035,88;0,00;2,00
239;42276,78;1,00;1,00;57,93;8055,31;0,00;0,00
240;38451,18;1,00;1,00;63,42;3441,26;0,00;9,00
241;45985,11;1,00;1,00;53,53;7382,06;0,00;1,00
242;51000,42;1,00;1,00;27,80;778,73;0,00;5,00
243;31523,11;1,00;1,00;40,45;5174,57;0,00;2,00
244;28648,68;1,00;1,00;18,40;1870,93;0,00;7,00
245;27514,43;1,00;1,00;21,90;3400,91;1,00;42,00
246;27441,00;1,00;1,00;37,40;1455,05;0,00;6,00
247;67709,24;1,00;1,00;50,41;5136,82;0,00;0,00
248;38600,71;1,00;1,00;44,72;2749,08;0,00;0,00
249;30950,30;1,00;1,00;26,31;5043,15;1,00;51,00
250;27083,82;1,00;1,00;60,67;3286,21;0,00;7,00
251;21512,75;1,00;1,00;24,78;2453,38;0,00;4,00
252;34796,00;1,00;1,00;58,49;443,67;0,00;9,00
253;27089,39;1,00;1,00;51,29;1851,31;0,00;7,00
254;25259,40;1,00;1,00;39,74;4341,01;0,00;10,00
255;47007,31;1,00;1,00;45,02;4069,40;0,00;5,00
256;20358,67;1,00;1,00;53,62;1064,69;0,00;4,00
257;67900,23;1,00;1,00;43,51;7902,74;0,00;1,00
258;54418,47;1,00;1,00;55,22;5630,74;0,00;6,00
259;51288,55;1,00;1,00;29,92;6536,97;1,00;43,00
260;28199,60;1,00;1,00;36,67;3871,69;0,00;4,00
261;22199,62;1,00;1,00;60,10;1498,39;0,00;9,00
262;50514,47;1,00;1,00;57,38;2003,65;0,00;5,00
263;34414,24;1,00;1,00;54,53;617,54;0,00;4,00
264;37633,09;1,00;1,00;29,42;868,16;0,00;6,00
265;55235,50;1,00;1,00;47,01;4910,55;0,00;10,00
266;45587,55;1,00;1,00;62,02;8366,61;0,00;3,00
267;52757,79;1,00;1,00;53,08;2321,21;0,00;5,00
268;41174,81;1,00;1,00;52,34;2888,44;0,00;6,00
269;25685,54;1,00;1,00;39,01;490,74;0,00;9,00
270;28145,30;1,00;1,00;55,55;4805,97;0,00;5,00
271;52094,22;1,00;1,00;40,84;495,02;0,00;9,00
272;33552,39;1,00;1,00;25,16;6054,24;1,00;47,00
273;37400,93;1,00;1,00;50,11;1693,14;0,00;6,00
274;21605,73;1,00;1,00;23,24;2828,31;1,00;51,00
275;57562,89;1,00;1,00;56,60;8508,84;0,00;6,00
276;62288,54;1,00;1,00;25,60;10657,11;1,00;46,00
277;22767,26;1,00;1,00;45,12;1205,79;0,00;2,00
278;20943,04;1,00;1,00;19,82;4098,12;1,00;54,00
279;20622,86;1,00;1,00;30,41;3518,45;1,00;41,00
280;48436,66;1,00;1,00;49,03;5851,41;0,00;3,00
281;27574,63;1,00;1,00;57,64;1017,40;0,00;3,00
282;62889,36;1,00;1,00;33,25;6525,15;0,00;6,00
283;37683,20;1,00;1,00;55,59;7414,55;0,00;2,00
284;54974,46;1,00;1,00;61,98;8922,20;0,00;9,00
285;56326,09;1,00;1,00;40,41;4816,78;0,00;6,00
286;65670,88;1,00;1,00;50,00;3950,87;0,00;0,00
287;50730,73;1,00;1,00;41,97;1879,06;0,00;5,00
288;64184,92;1,00;1,00;46,45;1854,24;0,00;3,00
289;66179,32;1,00;1,00;48,12;3646,94;0,00;10,00
290;24969,53;1,00;1,00;45,12;3595,50;0,00;8,00
291;54925,52;1,00;1,00;40,81;554,49;0,00;7,00
292;67879,25;1,00;1,00;43,60;10433,47;0,00;8,00
293;67787,53;1,00;1,00;53,36;9607,50;0,00;8,00
294;31657,62;1,00;1,00;37,78;1448,07;0,00;1,00
295;36559,14;1,00;1,00;19,72;3030,27;0,00;0,00
296;57787,57;1,00;1,00;22,64;6339,85;0,00;0,00
297;42521,73;1,00;1,00;47,70;2661,61;0,00;3,00
298;51935,18;1,00;1,00;21,50;5649,45;0,00;8,00
299;45677,88;1,00;1,00;51,69;2966,25;0,00;8,00
300;51363,60;1,00;1,00;21,02;761,42;0,00;10,00
301;27218,56;1,00;1,00;55,17;4145,00;0,00;3,00
302;43677,63;1,00;1,00;32,55;6739,86;1,00;42,00
303;21533,60;1,00;1,00;57,90;1971,55;0,00;4,00
304;28010,19;1,00;1,00;55,37;3971,16;0,00;9,00
305;51589,28;1,00;1,00;50,31;56,99;0,00;4,00
306;50480,95;1,00;1,00;27,08;8831,18;1,00;52,00
307;43957,35;1,00;1,00;21,14;5416,36;1,00;44,00
308;61878,35;1,00;1,00;33,01;567,67;0,00;9,00
309;60153,34;1,00;1,00;20,30;6472,35;0,00;2,00
310;33388,58;1,00;1,00;62,00;4551,88;0,00;0,00
311;41310,40;1,00;1,00;53,58;4481,16;0,00;5,00
312;25576,95;1,00;1,00;51,93;1922,66;0,00;7,00
313;51455,10;1,00;1,00;37,29;9447,12;0,00;10,00
314;48134,16;1,00;1,00;47,97;2075,60;0,00;7,00
315;51348,53;1,00;1,00;52,44;1507,89;0,00;2,00
316;20532,82;1,00;1,00;54,62;1897,78;0,00;5,00
317;33297,21;1,00;1,00;46,58;3674,74;0,00;7,00
318;55858,55;1,00;1,00;25,87;5630,44;0,00;9,00
319;43777,52;1,00;1,00;20,01;3601,30;0,00;8,00
320;27789,52;1,00;1,00;58,52;186,83;0,00;5,00
321;36132,42;1,00;1,00;34,29;99,45;0,00;6,00
322;20145,99;1,00;1,00;21,28;839,84;0,00;9,00
323;63108,71;1,00;1,00;43,19;5757,85;0,00;3,00
324;26581,61;1,00;1,00;61,95;5090,39;0,00;2,00
325;62040,89;1,00;1,00;62,05;7643,63;0,00;4,00
326;69958,71;1,00;1,00;30,54;8755,69;1,00;59,00
327;38082,52;1,00;1,00;45,52;4213,47;0,00;6,00
328;45183,05;1,00;1,00;33,90;5953,45;1,00;56,00
329;36242,45;1,00;1,00;39,42;5688,99;0,00;3,00
330;44527,26;1,00;1,00;42,09;4588,47;0,00;1,00
331;40496,26;1,00;1,00;20,11;4834,60;0,00;1,00
332;24698,67;1,00;1,00;48,91;2427,65;0,00;8,00
333;60560,31;1,00;1,00;49,75;1994,62;0,00;2,00
334;48018,21;1,00;1,00;50,20;6120,09;0,00;4,00
335;30216,25;1,00;1,00;26,56;2116,54;0,00;1,00
336;61742,24;1,00;1,00;44,87;8068,32;0,00;0,00
337;47288,43;1,00;1,00;62,43;4004,99;0,00;10,00
338;24658,90;1,00;1,00;59,44;590,60;0,00;8,00
339;64644,35;1,00;1,00;58,84;9848,17;0,00;5,00
340;57517,72;1,00;1,00;52,49;4536,86;0,00;8,00
341;52945,55;1,00;1,00;54,63;6262,01;0,00;2,00
342;36366,99;1,00;1,00;47,19;371,04;0,00;7,00
343;62113,73;1,00;1,00;27,88;11928,51;1,00;53,00
344;62279,52;1,00;1,00;26,67;6801,41;0,00;0,00
345;61799,08;1,00;1,00;56,96;5619,22;0,00;3,00
346;50139,74;1,00;1,00;30,27;7758,80;1,00;53,00
347;69566,68;1,00;1,00;52,97;9875,04;0,00;4,00
348;44897,49;1,00;1,00;51,36;5732,40;0,00;5,00
349;22572,30;1,00;1,00;51,02;724,19;0,00;4,00
350;37123,08;1,00;1,00;19,95;5659,51;1,00;50,00
351;68744,79;1,00;1,00;60,73;5207,88;0,00;5,00
352;21081,19;1,00;1,00;52,38;2395,17;0,00;8,00
353;58828,29;1,00;1,00;32,40;5947,65;0,00;7,00
354;46706,46;1,00;1,00;18,83;7084,26;1,00;55,00
355;32312,85;1,00;1,00;28,16;228,33;0,00;3,00
356;60778,77;1,00;1,00;43,01;10021,05;0,00;3,00
357;30948,04;1,00;1,00;42,75;3995,81;0,00;10,00
358;60122,01;1,00;1,00;62,91;7189,35;0,00;1,00
359;43321,68;1,00;1,00;32,29;743,87;0,00;4,00
360;47904,34;1,00;1,00;40,04;6183,51;0,00;6,00
361;58597,38;1,00;1,00;53,29;2588,49;0,00;9,00
362;66091,91;1,00;1,00;24,20;8743,51;1,00;48,00
363;47316,70;1,00;1,00;27,06;1940,67;0,00;9,00
364;40872,64;1,00;1,00;54,95;5312,49;0,00;10,00
365;35154,49;1,00;1,00;52,90;4037,72;0,00;8,00
366;32222,82;1,00;1,00;61,81;934,48;0,00;8,00
367;40447,67;1,00;1,00;22,49;1072,19;0,00;10,00
368;48463,20;1,00;1,00;50,53;8120,26;0,00;4,00
369;42843,10;1,00;1,00;28,63;839,87;0,00;4,00
370;50310,42;1,00;1,00;53,04;8361,72;0,00;8,00
371;57565,20;1,00;1,00;37,74;5353,56;0,00;6,00
372;55066,18;1,00;1,00;55,74;9332,70;0,00;0,00
373;46065,95;1,00;1,00;52,84;4947,31;0,00;9,00
374;38309,59;1,00;1,00;55,43;3545,72;0,00;1,00
375;54472,14;1,00;1,00;59,25;10836,38;0,00;7,00
376;58695,09;1,00;1,00;29,77;1826,52;0,00;2,00
377;54748,91;1,00;1,00;31,60;5438,09;0,00;0,00
378;46328,17;1,00;1,00;56,84;7879,68;0,00;4,00
379;49633,33;1,00;1,00;38,99;7915,31;0,00;7,00
380;66339,78;1,00;1,00;35,59;2350,89;0,00;10,00
381;62650,72;1,00;1,00;33,48;6425,37;0,00;1,00
382;27646,78;1,00;1,00;56,31;3132,15;0,00;6,00
383;21437,62;1,00;1,00;45,73;2563,96;0,00;0,00
384;50648,20;1,00;1,00;56,52;7110,76;0,00;5,00
385;29670,67;1,00;1,00;53,55;2928,98;0,00;2,00
386;20258,54;1,00;1,00;29,12;2767,84;1,00;49,00
387;34475,22;1,00;1,00;42,31;3162,13;0,00;4,00
388;28926,43;1,00;1,00;62,07;750,07;0,00;0,00
389;20660,67;1,00;1,00;49,36;1756,04;0,00;6,00
390;24987,93;1,00;1,00;49,07;3946,90;0,00;4,00
391;29672,56;1,00;1,00;51,02;607,91;0,00;10,00
392;23241,60;1,00;1,00;40,85;457,20;0,00;3,00
393;24217,23;1,00;1,00;23,51;2104,38;0,00;6,00
394;65574,09;1,00;1,00;23,51;3031,25;0,00;1,00
395;55994,46;1,00;1,00;31,14;680,62;0,00;7,00
396;67369,33;1,00;1,00;57,63;2299,42;0,00;2,00
397;23305,77;1,00;1,00;28,22;4521,00;1,00;44,00
398;35195,47;1,00;1,00;49,66;2836,99;0,00;0,00
399;27135,07;1,00;1,00;54,84;1387,25;0,00;3,00
400;24037,17;1,00;1,00;23,31;2469,36;0,00;9,00
401;51625,31;1,00;1,00;44,81;4592,25;0,00;8,00
402;50705,77;1,00;1,00;53,21;1096,97;0,00;10,00
403;58079,16;1,00;1,00;18,66;11540,05;1,00;59,00
404;62192,47;1,00;1,00;46,05;1863,89;0,00;9,00
405;62553,67;1,00;1,00;63,92;4641,70;0,00;10,00
406;68147,96;1,00;1,00;22,98;12307,56;1,00;58,00
407;27619,66;1,00;1,00;47,54;2774,83;0,00;6,00
408;65330,19;1,00;1,00;28,59;4030,80;0,00;1,00
409;26680,15;1,00;1,00;47,76;1671,18;0,00;2,00
410;46104,60;1,00;1,00;51,06;2342,47;0,00;8,00
411;44904,60;1,00;1,00;44,21;4953,77;0,00;6,00
412;52934,59;1,00;1,00;50,40;3248,63;0,00;8,00
413;43509,76;1,00;1,00;18,08;7363,04;1,00;55,00
414;22118,36;1,00;1,00;63,02;3928,12;0,00;0,00
415;56275,41;1,00;1,00;30,25;2224,88;0,00;10,00
416;48630,98;1,00;1,00;27,02;5862,83;1,00;52,00
417;64272,70;1,00;1,00;37,78;4929,88;0,00;0,00
418;24349,00;1,00;1,00;53,75;3890,47;0,00;7,00
419;34332,32;1,00;1,00;36,50;1225,72;0,00;2,00
420;64940,24;1,00;1,00;43,94;8196,93;0,00;10,00
421;30595,75;1,00;1,00;40,91;3495,07;0,00;3,00
422;53422,22;1,00;1,00;28,19;7441,76;1,00;53,00
423;69995,69;1,00;1,00;52,72;2084,37;0,00;0,00
424;48270,80;1,00;1,00;45,31;6232,28;0,00;3,00
425;27028,16;1,00;1,00;48,11;331,36;0,00;4,00
426;23519,87;1,00;1,00;34,39;2368,38;0,00;5,00
427;37302,08;1,00;1,00;35,02;2366,17;0,00;5,00
428;55601,27;1,00;1,00;18,84;10533,46;1,00;43,00
429;62678,65;1,00;1,00;25,84;333,44;0,00;8,00
430;41602,43;1,00;1,00;25,26;7005,08;1,00;51,00
431;27533,00;1,00;1,00;46,77;1551,42;0,00;2,00
432;30594,18;1,00;1,00;50,04;118,34;0,00;2,00
433;47846,95;1,00;1,00;24,42;3713,26;0,00;0,00
434;55273,28;1,00;1,00;25,42;10283,00;1,00;41,00
435;23086,26;1,00;1,00;24,85;1256,40;0,00;4,00
436;29621,27;1,00;1,00;32,46;5575,25;1,00;46,00
437;47533,92;1,00;1,00;39,96;6637,77;0,00;0,00
