clientid;income;sexo;Produto;age;loan;default;tempo;Prodb;ProdC
178;50073;1;prodA;33;8089;1;59;0;0
179;67465;1;prodA;24;1803;0;6;0;0
180;38626;1;prodA;20;5837;1;55;0;0
181;45227;1;prodA;27;5522;1;55;0;0
182;64902;1;prodA;45;9590;0;1;0;0
183;40544;1;prodA;51;6508;0;0;0;0
184;27793;1;prodA;61;382;0;3;0;0
185;61168;1;prodA;21;10397;1;53;0;0
186;64620;1;prodA;26;9705;1;47;0;0
187;37594;1;prodA;54;7274;0;8;0;0
188;35033;1;prodA;57;136;0;10;0;0
189;58364;1;prodA;56;5810;0;4;0;0
190;56946;1;prodA;46;6388;0;7;0;0
191;27205;1;prodA;29;3828;1;55;0;0
192;21648;1;prodA;53;3559;0;8;0;0
193;31078;1;prodA;44;4452;0;6;0;0
194;42523;1;prodA;54;6791;0;0;0;0
195;31769;1;prodA;45;1148;0;1;0;0
196;35557;1;prodA;24;6362;1;60;0;0
197;52909;1;prodA;54;9841;0;8;0;0
198;35045;1;prodA;29;2382;0;4;0;0
199;44488;1;prodA;33;2751;0;7;0;0
200;41680;1;prodA;54;395;0;4;0;0
201;54620;1;prodA;52;10780;0;9;0;0
202;38054;1;prodA;26;6111;1;54;0;0
203;64719;1;prodA;37;1485;0;7;0;0
204;43159;1;prodA;62;4350;0;1;0;0
205;29446;1;prodA;28;1759;0;6;0;0
206;25817;1;prodA;38;4115;0;7;0;0
207;66357;1;prodA;62;10725;0;8;0;0
208;56676;1;prodA;47;2279;0;10;0;0
209;61000;1;prodA;49;2161;0;10;0;0
210;58906;1;prodA;42;9291;0;8;0;0
211;49589;1;prodA;43;2627;0;0;0;0
212;40142;1;prodA;56;845;0;9;0;0
213;31660;1;prodA;32;859;0;0;0;0
214;62658;1;prodA;25;3343;0;0;0;0
215;39264;1;prodA;37;5256;0;7;0;0
216;46643;1;prodA;53;6441;0;8;0;0
217;30515;1;prodA;20;415;0;1;0;0
218;65077;1;prodA;51;11062;0;4;0;0
219;60872;1;prodA;61;4844;0;5;0;0
220;25011;1;prodA;36;3834;0;6;0;0
221;68407;1;prodA;61;598;0;10;0;0
222;43727;1;prodA;55;1171;0;2;0;0
223;45789;1;prodA;41;5894;0;0;0;0
224;65705;1;prodA;51;1970;0;1;0;0
225;32435;1;prodA;41;2738;0;6;0;0
226;58122;1;prodA;27;7531;1;42;0;0
227;62499;1;prodA;32;3313;0;9;0;0
228;26091;1;prodA;48;4256;0;6;0;0
229;64781;1;prodA;20;8402;1;46;0;0
230;65588;1;prodA;23;7880;1;48;0;0
231;65744;1;prodA;52;7725;0;5;0;0
232;37165;1;prodA;47;1446;0;3;0;0
233;65177;1;prodA;49;2365;0;3;0;0
234;34616;1;prodA;26;6477;1;59;0;0
235;59079;1;prodA;59;10326;0;10;0;0
236;56267;1;prodA;22;7329;1;60;0;0
237;34863;1;prodA;55;6041;0;9;0;0
238;60521;1;prodA;45;8036;0;2;0;0
239;42277;1;prodA;58;8055;0;0;0;0
240;38451;1;prodA;63;3441;0;9;0;0
241;45985;1;prodA;54;7382;0;1;0;0
242;51000;1;prodA;28;779;0;5;0;0
243;31523;1;prodA;40;5175;0;2;0;0
244;28649;1;prodA;18;1871;0;7;0;0
245;27514;1;prodA;22;3401;1;42;0;0
246;27441;1;prodA;37;1455;0;6;0;0
247;67709;1;prodA;50;5137;0;0;0;0
248;38601;1;prodA;45;2749;0;0;0;0
249;30950;1;prodA;26;5043;1;51;0;0
250;27084;1;prodA;61;3286;0;7;0;0
251;21513;1;prodA;25;2453;0;4;0;0
252;34796;1;prodA;58;444;0;9;0;0
253;27089;1;prodA;51;1851;0;7;0;0
254;25259;1;prodA;40;4341;0;10;0;0
255;47007;1;prodA;45;4069;0;5;0;0
256;20359;1;prodA;54;1065;0;4;0;0
257;67900;1;prodA;44;7903;0;1;0;0
258;54418;1;prodA;55;5631;0;6;0;0
259;51289;1;prodA;30;6537;1;43;0;0
260;28200;1;prodA;37;3872;0;4;0;0
261;22200;1;prodA;60;1498;0;9;0;0
262;50514;1;prodA;57;2004;0;5;0;0
263;34414;1;prodA;55;618;0;4;0;0
264;37633;1;prodA;29;868;0;6;0;0
265;55236;1;prodA;47;4911;0;10;0;0
266;45588;1;prodA;62;8367;0;3;0;0
267;52758;1;prodA;53;2321;0;5;0;0
268;41175;1;prodA;52;2888;0;6;0;0
269;25686;1;prodA;39;491;0;9;0;0
270;28145;1;prodA;56;4806;0;5;0;0
271;52094;1;prodA;41;495;0;9;0;0
272;33552;1;prodA;25;6054;1;47;0;0
273;37401;1;prodA;50;1693;0;6;0;0
274;21606;1;prodA;23;2828;1;51;0;0
275;57563;1;prodA;57;8509;0;6;0;0
276;62289;1;prodA;26;10657;1;46;0;0
277;22767;1;prodA;45;1206;0;2;0;0
278;20943;1;prodA;20;4098;1;54;0;0
279;20623;1;prodA;30;3518;1;41;0;0
280;48437;1;prodA;49;5851;0;3;0;0
281;27575;1;prodA;58;1017;0;3;0;0
282;62889;1;prodA;33;6525;0;6;0;0
283;37683;1;prodA;56;7415;0;2;0;0
284;54974;1;prodA;62;8922;0;9;0;0
285;56326;1;prodA;40;4817;0;6;0;0
286;65671;1;prodA;50;3951;0;0;0;0
287;50731;1;prodA;42;1879;0;5;0;0
288;64185;1;prodA;46;1854;0;3;0;0
289;66179;1;prodA;48;3647;0;10;0;0
290;24970;1;prodA;45;3596;0;8;0;0
291;54926;1;prodA;41;554;0;7;0;0
292;67879;1;prodA;44;10433;0;8;0;0
293;67788;1;prodA;53;9608;0;8;0;0
294;31658;1;prodA;38;1448;0;1;0;0
295;36559;1;prodA;20;3030;0;0;0;0
296;57788;1;prodA;23;6340;0;0;0;0
297;42522;1;prodA;48;2662;0;3;0;0
298;51935;1;prodA;22;5649;0;8;0;0
299;45678;1;prodA;52;2966;0;8;0;0
300;51364;1;prodA;21;761;0;10;0;0
301;27219;1;prodA;55;4145;0;3;0;0
302;43678;1;prodA;33;6740;1;42;0;0
303;21534;1;prodA;58;1972;0;4;0;0
304;28010;1;prodA;55;3971;0;9;0;0
305;51589;1;prodA;50;57;0;4;0;0
306;50481;1;prodA;27;8831;1;52;0;0
307;43957;1;prodA;21;5416;1;44;0;0
308;61878;1;prodA;33;568;0;9;0;0
309;60153;1;prodA;20;6472;0;2;0;0
310;33389;1;prodA;62;4552;0;0;0;0
311;41310;1;prodA;54;4481;0;5;0;0
312;25577;1;prodA;52;1923;0;7;0;0
313;51455;1;prodA;37;9447;0;10;0;0
314;48134;1;prodA;48;2076;0;7;0;0
315;51349;1;prodA;52;1508;0;2;0;0
316;20533;1;prodA;55;1898;0;5;0;0
317;33297;1;prodA;47;3675;0;7;0;0
318;55859;1;prodA;26;5630;0;9;0;0
319;43778;1;prodA;20;3601;0;8;0;0
320;27790;1;prodA;59;187;0;5;0;0
321;36132;1;prodA;34;99;0;6;0;0
322;20146;1;prodA;21;840;0;9;0;0
323;63109;1;prodA;43;5758;0;3;0;0
324;26582;1;prodA;62;5090;0;2;0;0
325;62041;1;prodA;62;7644;0;4;0;0
326;69959;1;prodA;31;8756;1;59;0;0
327;38083;1;prodA;46;4213;0;6;0;0
328;45183;1;prodA;34;5953;1;56;0;0
329;36242;1;prodA;39;5689;0;3;0;0
330;44527;1;prodA;42;4588;0;1;0;0
331;40496;1;prodA;20;4835;0;1;0;0
332;24699;1;prodA;49;2428;0;8;0;0
333;60560;1;prodA;50;1995;0;2;0;0
334;48018;1;prodA;50;6120;0;4;0;0
335;30216;1;prodA;27;2117;0;1;0;0
336;61742;1;prodA;45;8068;0;0;0;0
337;47288;1;prodA;62;4005;0;10;0;0
338;24659;1;prodA;59;591;0;8;0;0
339;64644;1;prodA;59;9848;0;5;0;0
340;57518;1;prodA;52;4537;0;8;0;0
341;52946;1;prodA;55;6262;0;2;0;0
342;36367;1;prodA;47;371;0;7;0;0
343;62114;1;prodA;28;11929;1;53;0;0
344;62280;1;prodA;27;6801;0;0;0;0
345;61799;1;prodA;57;5619;0;3;0;0
346;50140;1;prodA;30;7759;1;53;0;0
347;69567;1;prodA;53;9875;0;4;0;0
348;44897;1;prodA;51;5732;0;5;0;0
349;22572;1;prodA;51;724;0;4;0;0
350;37123;1;prodA;20;5660;1;50;0;0
351;68745;1;prodA;61;5208;0;5;0;0
352;21081;1;prodA;52;2395;0;8;0;0
353;58828;1;prodA;32;5948;0;7;0;0
354;46706;1;prodA;19;7084;1;55;0;0
355;32313;1;prodA;28;228;0;3;0;0
356;60779;1;prodA;43;10021;0;3;0;0
357;30948;1;prodA;43;3996;0;10;0;0
358;60122;1;prodA;63;7189;0;1;0;0
359;43322;1;prodA;32;744;0;4;0;0
360;47904;1;prodA;40;6184;0;6;0;0
361;58597;1;prodA;53;2588;0;9;0;0
362;66092;1;prodA;24;8744;1;48;0;0
363;47317;1;prodA;27;1941;0;9;0;0
364;40873;1;prodA;55;5312;0;10;0;0
365;35154;1;prodA;53;4038;0;8;0;0
366;32223;1;prodA;62;934;0;8;0;0
367;40448;1;prodA;22;1072;0;10;0;0
368;48463;1;prodA;51;8120;0;4;0;0
369;42843;1;prodA;29;840;0;4;0;0
370;50310;1;prodA;53;8362;0;8;0;0
371;57565;1;prodA;38;5354;0;6;0;0
372;55066;1;prodA;56;9333;0;0;0;0
373;46066;1;prodA;53;4947;0;9;0;0
374;38310;1;prodA;55;3546;0;1;0;0
375;54472;1;prodA;59;10836;0;7;0;0
376;58695;1;prodA;30;1827;0;2;0;0
377;54749;1;prodA;32;5438;0;0;0;0
378;46328;1;prodA;57;7880;0;4;0;0
379;49633;1;prodA;39;7915;0;7;0;0
380;66340;1;prodA;36;2351;0;10;0;0
381;62651;1;prodA;33;6425;0;1;0;0
382;27647;1;prodA;56;3132;0;6;0;0
383;21438;1;prodA;46;2564;0;0;0;0
384;50648;1;prodA;57;7111;0;5;0;0
385;29671;1;prodA;54;2929;0;2;0;0
386;20259;1;prodA;29;2768;1;49;0;0
387;34475;1;prodA;42;3162;0;4;0;0
388;28926;1;prodA;62;750;0;0;0;0
389;20661;1;prodA;49;1756;0;6;0;0
390;24988;1;prodA;49;3947;0;4;0;0
391;29673;1;prodA;51;608;0;10;0;0
392;23242;1;prodA;41;457;0;3;0;0
393;24217;1;prodA;24;2104;0;6;0;0
394;65574;1;prodA;24;3031;0;1;0;0
395;55994;1;prodA;31;681;0;7;0;0
396;67369;1;prodA;58;2299;0;2;0;0
397;23306;1;prodA;28;4521;1;44;0;0
398;35195;1;prodA;50;2837;0;0;0;0
399;27135;1;prodA;55;1387;0;3;0;0
400;24037;1;prodA;23;2469;0;9;0;0
401;51625;1;prodA;45;4592;0;8;0;0
402;50706;1;prodA;53;1097;0;10;0;0
403;58079;1;prodA;19;11540;1;59;0;0
404;62192;1;prodA;46;1864;0;9;0;0
405;62554;1;prodA;64;4642;0;10;0;0
406;68148;1;prodA;23;12308;1;58;0;0
407;27620;1;prodA;48;2775;0;6;0;0
408;65330;1;prodA;29;4031;0;1;0;0
409;26680;1;prodA;48;1671;0;2;0;0
410;46105;1;prodA;51;2342;0;8;0;0
411;44905;1;prodA;44;4954;0;6;0;0
412;52935;1;prodA;50;3249;0;8;0;0
413;43510;1;prodA;18;7363;1;55;0;0
414;22118;1;prodA;63;3928;0;0;0;0
415;56275;1;prodA;30;2225;0;10;0;0
416;48631;1;prodA;27;5863;1;52;0;0
417;64273;1;prodA;38;4930;0;0;0;0
418;24349;1;prodA;54;3890;0;7;0;0
419;34332;1;prodA;37;1226;0;2;0;0
420;64940;1;prodA;44;8197;0;10;0;0
421;30596;1;prodA;41;3495;0;3;0;0
422;53422;1;prodA;28;7442;1;53;0;0
423;69996;1;prodA;53;2084;0;0;0;0
424;48271;1;prodA;45;6232;0;3;0;0
425;27028;1;prodA;48;331;0;4;0;0
426;23520;1;prodA;34;2368;0;5;0;0
427;37302;1;prodA;35;2366;0;5;0;0
428;55601;1;prodA;19;10533;1;43;0;0
429;62679;1;prodA;26;333;0;8;0;0
430;41602;1;prodA;25;7005;1;51;0;0
431;27533;1;prodA;47;1551;0;2;0;0
432;30594;1;prodA;50;118;0;2;0;0
433;47847;1;prodA;24;3713;0;0;0;0
434;55273;1;prodA;25;10283;1;41;0;0
435;23086;1;prodA;25;1256;0;4;0;0
436;29621;1;prodA;32;5575;1;46;0;0
437;47534;1;prodA;40;6638;0;0;0;0
438;62519;1;prodA;44;2325;0;8;0;0
439;50879;1;prodA;45;3257;0;3;0;0
440;58581;1;prodA;57;4318;0;7;0;0
441;69446;1;prodA;29;10643;1;49;0;0
442;60929;1;prodA;60;11146;0;4;0;0
443;35497;1;prodA;47;168;0;10;0;0
444;33572;1;prodA;57;3369;0;5;0;0
445;55307;1;prodA;20;5273;0;0;0;0
446;34142;1;prodA;47;3372;0;2;0;0
447;40454;1;prodA;21;891;0;4;0;0
448;69089;1;prodA;54;11246;0;10;0;0
449;30886;1;prodA;55;5216;0;7;0;0
450;58683;1;prodA;25;272;0;4;0;0
451;60676;1;prodA;40;11618;0;4;0;0
452;68461;1;prodA;36;950;0;6;0;0
453;63654;1;prodA;28;8867;1;46;0;0
454;42523;1;prodA;18;5036;0;3;0;0
455;54140;1;prodA;31;7896;1;41;0;0
456;47548;1;prodA;48;6154;0;2;0;0
457;24114;1;prodA;52;3901;0;0;0;0
458;20686;1;prodA;33;3053;1;56;0;0
459;21412;1;prodA;26;2640;1;59;0;0
460;69391;1;prodA;64;2550;0;5;0;0
461;32319;1;prodA;43;2733;0;6;0;0
462;52863;1;prodA;47;9754;0;5;0;0
463;48383;1;prodA;40;2763;0;0;0;0
464;36431;1;prodA;38;5855;0;8;0;0
465;44269;1;prodA;28;6043;1;46;0;0
466;63806;1;prodA;57;115;0;3;0;0
467;46196;1;prodA;32;927;0;9;0;0
468;23743;1;prodA;43;3255;0;1;0;0
469;22090;1;prodA;21;2584;0;4;0;0
470;54707;1;prodA;44;10255;0;10;0;0
471;23204;1;prodA;59;749;0;9;0;0
472;25342;1;prodA;40;872;0;7;0;0
473;31646;1;prodA;32;5194;1;46;0;0
474;32307;1;prodA;22;3603;0;10;0;0
475;61263;1;prodA;49;5564;0;2;0;0
476;26389;1;prodA;19;1191;0;9;0;0
477;53009;1;prodA;36;3589;0;7;0;0
478;58164;1;prodA;59;2238;0;9;0;0
479;38665;1;prodA;55;6152;0;10;0;0
480;25289;1;prodA;53;3702;0;5;0;0
481;66050;1;prodA;29;13173;1;54;0;0
482;56283;1;prodA;62;8216;0;6;0;0
483;35779;1;prodA;31;5545;1;51;0;0
484;29174;1;prodA;19;666;0;9;0;0
485;55934;1;prodA;61;5643;0;10;0;0
486;32257;1;prodA;20;2809;0;3;0;0
487;68053;1;prodA;29;1416;0;5;0;0
488;26957;1;prodA;55;4173;0;6;0;0
489;48685;1;prodA;33;9699;1;55;0;0
490;38288;1;prodA;29;1723;0;0;0;0
491;42468;1;prodA;29;1902;0;0;0;0
492;55378;1;prodA;47;6883;0;4;0;0
493;54232;1;prodA;21;10156;1;57;0;0
494;53283;1;prodA;49;4065;0;0;0;0
495;52535;1;prodA;47;3810;0;1;0;0
496;47848;1;prodA;27;8494;1;56;0;0
497;59998;1;prodA;54;4660;0;2;0;0
498;58685;1;prodA;32;5416;0;9;0;0
499;49115;1;prodA;61;6389;0;10;0;0
500;57179;1;prodA;21;2992;0;0;0;0
501;69395;1;prodA;24;11048;1;42;0;0
502;43964;1;prodA;42;4481;0;1;0;0
503;66326;1;prodA;41;5602;0;6;0;0
504;35887;1;prodA;35;844;0;9;0;0
505;35578;1;prodA;42;3641;0;3;0;0
506;48689;1;prodA;37;3859;0;9;0;0
507;56511;1;prodA;47;9255;0;1;0;0
508;50276;1;prodA;42;5542;0;6;0;0
509;56665;1;prodA;62;11160;0;8;0;0
510;42912;1;prodA;61;4550;0;1;0;0
511;22170;1;prodA;37;947;0;2;0;0
512;35920;1;prodA;27;1227;0;2;0;0
513;61988;1;prodA;28;2618;0;9;0;0
514;30045;1;prodA;50;1428;0;8;0;0
515;61528;1;prodA;56;10898;0;5;0;0
516;31196;1;prodA;47;987;0;5;0;0
517;66004;1;prodA;33;11208;1;57;0;0
518;56961;1;prodA;26;4856;0;9;0;0
519;41315;1;prodA;58;1379;0;1;0;0
520;64913;1;prodA;27;9781;1;59;0;0
521;32805;1;prodA;62;4961;0;9;0;0
522;25789;1;prodA;26;2410;0;3;0;0
523;31908;1;prodA;38;1857;0;10;0;0
524;56050;1;prodA;24;6871;1;46;0;0
525;66506;1;prodA;26;6571;0;3;0;0
526;57504;1;prodA;56;8107;0;7;0;0
527;44619;1;prodA;60;2475;0;1;0;0
528;21159;1;prodA;54;3562;0;6;0;0
529;22765;1;prodA;21;541;0;8;0;0
530;25053;1;prodA;46;3368;0;3;0;0
531;61006;1;prodA;54;5851;0;0;0;0
532;62321;1;prodA;46;10649;0;4;0;0
533;49605;1;prodA;52;7046;0;4;0;0
534;48433;1;prodA;29;790;0;2;0;0
535;57590;1;prodA;20;7676;1;48;0;0
536;62692;1;prodA;25;8245;1;46;0;0
537;51122;1;prodA;59;6472;0;6;0;0
538;22517;1;prodA;56;4267;0;6;0;0
539;60857;1;prodA;37;10487;0;1;0;0
540;62908;1;prodA;51;3214;0;5;0;0
541;49666;1;prodA;50;2714;0;1;0;0
542;65323;1;prodA;41;2740;0;7;0;0
543;20599;1;prodA;36;3872;0;8;0;0
544;55477;1;prodA;52;4734;0;9;0;0
545;26218;1;prodA;18;3344;1;40;0;0
546;40795;1;prodA;38;6519;0;9;0;0
547;53720;1;prodA;43;1671;0;1;0;0
548;20716;1;prodA;28;370;0;9;0;0
549;57164;1;prodA;54;578;0;9;0;0
550;33751;1;prodA;25;6494;1;42;0;0
551;44833;1;prodA;32;1256;0;8;0;0
552;51036;1;prodA;59;2890;0;8;0;0
553;53493;1;prodA;22;5031;0;6;0;0
554;58206;1;prodA;57;10036;0;4;0;0
555;47440;1;prodA;22;7896;1;43;0;0
556;47586;1;prodA;42;3343;0;6;0;0
557;26101;1;prodA;62;960;0;6;0;0
558;45326;1;prodA;59;5142;0;6;0;0
559;24392;1;prodA;47;2198;0;8;0;0
560;53741;1;prodA;50;6513;0;0;0;0
561;40054;1;prodA;28;45;0;0;0;0
562;53034;1;prodA;38;10427;0;8;0;0
563;25177;1;prodA;54;3065;0;1;0;0
564;31211;1;prodA;54;3853;0;3;0;0
565;23532;1;prodA;60;1078;0;10;0;0
566;63777;1;prodA;44;6698;0;10;0;0
567;52279;1;prodA;46;4269;0;0;0;0
568;56016;1;prodA;33;2276;0;1;0;0
569;56111;1;prodA;63;9351;0;5;0;0
570;57857;1;prodA;34;8824;1;44;0;0
571;30187;1;prodA;28;4463;1;43;0;0
572;30787;1;prodA;47;3563;0;5;0;0
573;22279;1;prodA;59;3141;0;4;0;0
574;42476;1;prodA;46;8334;0;9;0;0
575;58148;1;prodA;34;3951;0;2;0;0
576;36266;1;prodA;56;3207;0;6;0;0
577;39046;1;prodA;27;1165;0;1;0;0
578;64468;1;prodA;63;522;0;6;0;0
579;36595;1;prodA;61;3492;0;8;0;0
580;58798;1;prodA;53;8893;0;6;0;0
581;66653;1;prodA;20;5181;0;9;0;0
582;48272;1;prodA;22;6078;1;54;0;0
583;30991;1;prodA;34;4589;1;54;0;0
