p,y
0.02184181,0
0.000875542,0
0.597909733,1
0.00791927,0
0.018123668,0
0.001059258,0
0.584574462,1
0.024100447,0
0.006023781,0
0.054590017,0
0.002499429,0
0.135088593,1
0.004617276,0
0.083842686,0
0.059568683,0
0.006963974,0
0.002272911,0
0.013361249,0
0.010603309,0
0.002338853,0
0.07146941,0
0.005149028,0
0.006861478,0
0.027029253,0
0.010479541,0
0.004992806,0
0.002524259,0
0.065864114,0
0.03811687,0
0.101996889,0
0.551541049,0
0.005463664,0
0.091022336,0
0.063930865,0
0.001331057,0
0.319899051,0
0.004700743,0
0.062024238,0
0.023421945,0
0.016980701,0
0.0893345,0
0.000424863,0
0.02333409,0
0.047215819,0
0.119337,0
0.047507808,0
0.008322357,0
0.452017723,1
0.000836524,0
0.022389551,0
0.011790184,0
0.127300393,0
0.348235638,0
0.179448314,1
0.106232485,0
0.261369242,0
0.141645828,1
0.111744756,0
0.054796178,0
0.081218858,0
0.086701181,0
0.008615644,0
0.011901657,0
0.092173528,0
0.075303413,0
0.011364121,0
0.00592975,0
0.008199719,0
0.029277723,0
0.157303455,0
0.01291645,0
0.755640654,1
0.002756392,0
0.02163125,0
0.160031362,0
0.333944174,1
0.149661388,1
0.021702483,0
0.482888824,0
0.106437979,0
0.00949918,0
0.000654413,0
0.046754262,0
0.058408757,0
0.046051175,0
0.07894624,0
0.039659565,0
0.009863864,0
0.186045788,0
0.014833396,0
0.009962082,0
0.00373341,0
0.008748978,0
0.007398679,0
0.005352728,0
0.036048989,0
0.078774692,0
0.083982327,0
8.85E-05,0
0.004877894,0
0.008936259,0
0.002928511,0
0.313470969,0
0.021442642,0
0.856578659,1
0.019799679,0
0.143747966,0
0.012111912,0
0.026726543,0
0.01912869,0
0.012648209,0
0.041752289,0
0.000336658,0
0.020906772,0
0.001648546,0
0.689617586,0
0.025352851,0
0.150068628,0
0.012231172,0
0.028377009,0
0.009974418,0
0.217273572,0
0.040421102,0
0.822086418,0
0.047470247,0
0.027156215,0
0.162029525,0
0.004345598,0
0.016779415,0
0.145797647,1
0.021500302,0
0.029574506,0
0.086518804,0
0.189967085,0
0.015659902,0
0.003910466,0
0.90605319,1
0.005443663,0
0.000935334,0
0.035418572,0
0.495002712,1
0.082169607,0
0.601155842,0
0.007262355,0
0.007277099,0
0.062534665,0
0.048860302,0
0.016758659,0
0.00164669,0
0.18925439,0
0.310046818,1
0.015799547,0
0.163980621,0
0.094725201,0
0.018290791,0
0.065464641,1
0.015815427,0
0.552998904,1
0.172293076,0
0.037779131,0
0.013094967,0
0.000629974,0
0.079370664,0
0.557760274,0
0.00379696,0
0.000167993,0
0.079180879,0
0.141500279,0
0.026153628,0
0.009425833,0
0.114566101,0
0.00871455,0
0.043677944,0
0.076424797,0
0.118788116,0
0.001633567,0
0.090061724,0
0.010829751,0
0.007051227,0
0.051564953,0
0.004975376,0
0.003868482,0
0.057773909,1
0.137488123,1
0.01903877,0
0.004018992,0
0.367012441,0
0.333200936,1
0.663447554,0
0.003978002,0
0.027890188,0
0.646892062,1
0.323781719,0
0.023102497,1
0.028910935,0
0.016644118,0
0.152390787,1
0.34334371,0
0.013385322,0
0.076630436,0
0.00335308,0
0.01269506,0
0.013820469,0
0.153006566,0
0.018934119,0
0.166123972,0
0.001130388,0
0.034271215,0
0.448599266,0
0.015523049,0
0.016593498,0
0.006435698,0
0.277825974,0
0.112844557,0
0.01766114,0
0.096704891,0
0.016376962,0
0.197468415,0
0.276645866,1
0.056209096,1
0.025688874,0
0.04774042,0
0.025280154,0
0.70208621,1
0.000817758,0
0.004216955,0
0.049938199,1
0.001571549,0
0.007017139,0
0.040379446,0
0.005762623,0
0.007114329,0
0.102780206,0
0.028154152,0
0.072524918,0
0.148759224,1
0.004845583,0
0.076946034,0
0.170817997,1
0.019338217,0
0.061619046,0
0.003689464,0
0.027243761,0
0.011923396,0
0.044366383,0
0.010776079,0
0.024041932,0
0.00025156,0
0.003992312,0
0.081887221,0
0.005778199,0
0.158420549,0
0.004203827,0
0.064977581,0
0.007528224,0
0.007982178,0
0.000182837,0
0.000460068,0
0.001363057,0
0.029260324,0
0.038438433,0
0.001626583,0
0.006422411,0
0.051696136,0
0.012716377,0
0.220920772,0
0.449426295,0
0.044612594,0
0.138747919,0
0.003212956,0
0.007555516,0
0.001297981,0
0.08852181,0
0.00037894,0
0.010416289,0
0.034029389,0
0.108446156,0
0.159521594,0
0.014607022,0
0.089813653,0
0.028151822,0
0.028549332,0
0.010169099,0
0.011761691,0
0.035982862,0
0.05773883,0
0.079664593,0
0.004244258,0
0.032998478,0
0.172005618,1
7.33E-05,0
0.011700569,0
0.010168793,0
0.102907921,1
0.042936364,0
0.106101359,0
0.327982501,0
0.016436455,0
0.008101926,0
0.113533118,0
0.041113718,0
0.284084859,0
0.085957631,0
0.11630366,1
0.00489818,0
0.008328444,0
0.014434475,0
0.007036284,0
0.049152665,0
0.491770738,0
0.07582816,0
0.093672595,0
0.004115788,0
0.004749992,0
0.024353956,0
0.009771415,0
0.018913872,0
0.031179967,0
0.004593336,0
0.033032449,0
0.110483031,0
0.047197906,0
0.033704417,0
0.018845463,0
0.011669535,0
0.032053203,0
0.001206063,0
0.002682182,0
0.04802688,0
0.001975116,0
0.016929821,0
0.039343708,0
0.104212655,0
0.162809837,0
0.002916726,0
0.011600367,0
0.035722844,0
0.026801151,0
0.001725968,0
0.080190696,0
0.357846734,0
0.022851439,0
0.037568612,0
0.636204983,1
0.171210635,0
0.049114769,0
0.008569209,0
0.048411043,0
0.130436986,1
0.001926855,0
0.043090717,0
0.009191436,1
0.074912576,0
0.021782925,0
0.006616356,0
0.07061211,0
0.033314199,0
0.002712554,0
0.050483869,0
0.000789708,0
0.003431135,0
0.094914199,1
0.001466796,0
0.555571276,0
0.009739548,0
0.005197505,0
0.004990555,0
0.023713518,0
0.00145606,0
0.051173339,0
0.011503524,0
0.041798197,0
0.007468391,0
0.002418967,0
0.012056446,0
0.130710848,0
0.01466648,0
0.07568983,0
0.479601524,0
0.00011366,0
0.015391272,0
0.01612864,0
0.085506934,0
0.014270316,0
0.266229701,0
0.017349968,0
0.053478756,0
0.010706792,0
0.202884182,0
0.813240646,1
0.015763687,0
0.553017007,0
0.007872955,0
0.027655838,0
0.140160987,0
0.069864493,0
0.000431494,0
0.002233086,0
0.048429481,0
0.113858971,0
0.571930712,0
0.123585392,0
0.064708958,0
0.029329856,0
0.020194661,0
0.141521401,0
0.008142751,0
0.394103113,0
0.122329134,1
0.655556687,1
0.001018698,0
0.383857634,0
0.480093008,1
0.154862279,0
0.122724802,0
0.038581533,0
0.001392949,0
0.006573491,0
0.82689961,0
0.009172846,0
0.14349962,0
0.0077762,0
0.027302214,0
0.523559564,1
0.092332584,1
0.006381154,0
0.013803183,0
0.023392237,0
0.006688445,0
0.016567987,0
0.115143578,0
0.065950206,0
0.07471223,0
0.008760947,0
0.052381993,0
0.07580786,1
0.010173013,0
0.102866119,0
0.099493341,0
0.020940781,0
0.13037383,0
0.015981975,0
0.007312299,0
0.130826233,0
0.074236991,1
0.008939667,0
0.159821869,0
0.213089344,0
0.050336576,0
0.006976271,0
0.041981727,1
0.006281044,0
0.296351958,1
0.866173363,1
0.009927906,0
0.001696976,0
0.363959923,0
0.037987908,0
0.201932998,0
0.017941217,0
0.032044939,0
0.157701804,0
0.100375504,0
0.01655106,0
0.306756688,0
0.056977989,1
0.023601255,0
0.16669092,0
0.00525421,0
0.027402067,0
0.039390184,0
0.36889722,1
0.008400504,0
0.002531027,0
0.205380274,0
0.082385286,0
0.00864626,0
0.011644364,0
0.26914889,0
0.001582155,0
0.050368915,0
0.140148811,0
0.024423939,0
0.044079475,0
0.074077896,0
0.074591108,0
0.002917636,0
0.015051147,0
0.053383965,0
0.052057497,0
0.014449768,0
0.091297853,0
0.105818815,0
0.195546014,1
0.264226176,0
0.044444614,0
0.020965121,0
0.062817947,0
0.015645248,0
0.103685392,0
0.006121507,0
0.000344903,0
0.03059901,0
0.002778506,0
0.016875773,0
0.029415416,0
0.852469188,1
0.036667743,0
0.008329941,0
0.013789246,0
0.028719342,0
0.22482654,0
0.117711991,1
0.013112447,0
0.010867495,0
0.010416245,0
0.245128742,0
0.002078545,0
0.128347995,0
0.071486094,0
0.054128148,0
0.739859041,0
0.026960058,0
0.001019119,0
0.244255712,0
0.013573297,0
0.023592343,0
0.078856331,0
0.02816489,0
0.001807527,0
0.087482046,0
0.01225571,0
0.001069066,0
0.03329803,0
0.122082153,0
0.191526439,0
0.026854485,0
0.006688883,0
0.459943748,0
0.035506999,0
0.021523247,0
0.484251405,0
0.084867146,0
0.011047234,0
0.126058243,1
0.209166807,0
0.003578889,0
0.128996035,0
0.119238843,0
0.009470198,0
0.023123668,0
0.043288766,0
0.065883644,0
0.006187822,0
0.016662371,0
0.263715729,0
0.022837839,0
0.053178305,0
0.057210022,0
0.86655075,1
0.153874563,0
0.00418594,0
0.073894945,0
0.005970584,0
0.340045735,0
0.723621934,1
0.035248957,0
0.151294705,0
0.223071412,0
0.02995012,0
0.082003493,0
0.018459396,0
0.007918362,0
0.016179795,0
0.012252587,0
0.014040714,0
0.007059331,0
0.072393152,0
0.003433275,0
0.004614498,0
0.005497617,0
0.746826388,1
0.190381678,1
0.020021048,0
0.002500949,0
0.102439419,0
0.007186561,0
0.02333921,0
0.11513024,0
0.236728881,0
0.01177415,0
0.975403897,1
0.246786842,1
0.015328943,0
0.007477185,0
0.000895598,0
0.023705461,0
0.05557235,0
0.160016081,0
0.298686561,0
0.054968536,0
0.007441797,0
0.025537447,0
0.092392219,1
0.002138936,0
0.14798643,0
0.061926929,0
0.364183987,1
0.008963165,0
0.054214014,0
0.06832565,0
0.106632791,0
0.034925051,0
0.035339291,0
0.032001713,0
0.132107598,0
0.017972367,0
0.074907379,1
0.004688903,0
0.026927422,0
0.106934836,0
0.018472295,0
0.013389408,0
0.027945712,0
0.007822293,0
0.01665726,0
0.095073072,0
0.137055811,0
0.00435443,0
0.087252557,0
0.032281723,0
0.01904687,0
0.139287617,1
0.012415661,0
0.013715349,0
0.004512134,0
0.29889438,1
0.021200132,0
0.046095435,0
0.058949068,0
0.028675909,0
0.086686956,0
0.011973388,0
0.503079337,0
0.009342566,0
0.043310829,0
0.080876643,0
0.009402035,0
0.008845405,0
0.063769381,0
0.020694781,0
0.024330031,0
0.001016461,0
0.00256853,0
0.009060712,0
0.002035385,0
0.002860007,0
0.157998798,0
0.07570315,0
0.21821234,1
0.381589827,1
0.00230141,0
0.054092964,0
0.085840513,0
0.169089748,0
0.011129122,0
0.424829603,1
0.050967588,1
0.001010571,0
0.151676692,0
0.353252788,1
0.010188419,0
0.010134996,0
0.008188652,0
0.868623566,0
0.212040644,1
0.010807742,0
0.683871044,1
0.013172104,0
0.042312304,0
0.004000352,0
0.02143501,0
0.093870662,0
0.001067718,0
0.001558996,0
0.114363756,0
0.009128284,0
0.007040317,0
0.053265517,1
0.19027572,0
0.603459353,1
0.003167847,0
0.037912921,0
0.489557923,0
0.162860814,0
0.0364796,0
0.271117664,0
0.035088206,0
0.096862772,0
0.00736982,0
0.007404948,0
0.009140534,0
0.002752114,0
0.024318473,0
0.021811088,0
0.009022679,0
0.042876577,0
0.001329343,0
0.110197858,0
0.000611578,0
0.003075454,0
0.005339739,0
0.538797678,0
0.21702895,0
0.001735285,0
0.024858114,0
0.122466046,0
0.007259005,0
0.180885656,0
0.054055031,0
0.029383726,0
0.025765576,0
0.098016293,0
0.024460724,0
0.004334235,0
0.002029486,0
0.056149714,0
0.559291882,0
0.008077983,0
0.159135009,0
0.116192074,0
0.112169331,0
0.003315062,0
0.164504468,0
0.003620093,0
0.001841771,0
0.009637901,0
0.052940298,0
0.14799808,1
0.160657641,0
0.465823024,0
0.125954981,0
0.063222687,0
0.10347303,0
0.002798102,0
0.005365478,0
0.001485566,0
0.003435056,0
0.115758444,1
0.031385154,0
0.013553687,0
0.031504882,0
0.01405391,0
0.129962842,0
0.062382531,0
0.028373716,0
0.006797488,0
0.001355435,0
0.027746589,0
0.03406545,0
0.78975546,0
0.333119813,0
0.023547227,0
0.327236617,0
0.00416886,0
0.075567527,0
0.037907336,0
0.132368182,0
0.364952938,1
0.002950231,0
0.014217955,0
0.076319212,0
0.006081706,0
0.255053578,0
